Name,Price,Url
Genuine Weather Rain,3.485 ,https://market.dota2.net/en/item/519295759-93973071-Genuine%20Weather%20Rain/
Doll of the Dead,13.942 ,https://market.dota2.net/en/item/5224618520-58046424-Doll%20of%20the%20Dead/
The Abscesserator,3.944 ,https://market.dota2.net/en/item/5061407183-1625510296-The%20Abscesserator/
Reaper's Wreath,4.38 ,https://market.dota2.net/en/item/3266278434-57949762-Reaper%27s%20Wreath/
Mantle of the Cinder Baron,2.518 ,https://market.dota2.net/en/item/1399668417-948149725-Mantle%20of%20the%20Cinder%20Baron/
Hidden Vector - Blade,4.457 ,https://market.dota2.net/en/item/4480662399-1625510296-Hidden%20Vector%20-%20Blade/
Auspice of the Whyrlegyge,2.408 ,https://market.dota2.net/en/item/1880238948-57949762-Auspice%20of%20the%20Whyrlegyge/
Crux of Perplex,2.61 ,https://market.dota2.net/en/item/2974022688-57949762-Crux%20of%20Perplex/
Genuine Weather Ash,3.56 ,https://market.dota2.net/en/item/1723140769-948149725-Genuine%20Weather%20Ash/
Tines of Tybara,2.822 ,https://market.dota2.net/en/item/3481251710-57949762-Tines%20of%20Tybara/
Origins of Faith,3.866 ,https://market.dota2.net/en/item/2457164243-57949762-Origins%20of%20Faith/
The Strings of Suradan,2.929 ,https://market.dota2.net/en/item/5632853673-1625510296-The%20Strings%20of%20Suradan/
Staff of the Demon Trickster,3.269 ,https://market.dota2.net/en/item/3481260928-1625510296-Staff%20of%20the%20Demon%20Trickster/
Golden Twilight Schism,10.893 ,https://market.dota2.net/en/item/3343608169-782678640-Golden%20Twilight%20Schism/
Altar Ball,2.471 ,https://market.dota2.net/en/item/5224603878-58046424-Altar%20Ball/
Ripper's Reel,2.691 ,https://market.dota2.net/en/item/1899578284-57949762-Ripper%27s%20Reel/
Magus Accord,13.735 ,https://market.dota2.net/en/item/2457165324-0-Magus%20Accord/
The Basher Blades,3.214 ,https://market.dota2.net/en/item/997405425-93973071-The%20Basher%20Blades/
The King's New Journey,14.23 ,https://market.dota2.net/en/item/2085576689-57943523-The%20King%27s%20New%20Journey/
Concord Dominion,5.157 ,https://market.dota2.net/en/item/2457164244-57949762-Concord%20Dominion/
Arms of Desolation,4.891 ,https://market.dota2.net/en/item/996780770-3361756675-Arms%20of%20Desolation/
Apogee of the Guardian Flame,2.186 ,https://market.dota2.net/en/item/3343608168-57949762-Apogee%20of%20the%20Guardian%20Flame/
Bitter Lineage,3.709 ,https://market.dota2.net/en/item/2457164245-57949762-Bitter%20Lineage/
Glaive of Oscilla,3.042 ,https://market.dota2.net/en/item/2974024428-57949762-Glaive%20of%20Oscilla/
Mulctant Pall,11.27 ,https://market.dota2.net/en/item/1899580746-57949762-Mulctant%20Pall/
Focal Resonance,3.486 ,https://market.dota2.net/en/item/1116755959-3361756675-Focal%20Resonance/
Demon Eater,22.874 ,https://market.dota2.net/en/item/606175608-3361757623-Demon%20Eater/
Tempest Helm of the Thundergod,27.133 ,https://market.dota2.net/en/item/1441173253-1625510296-Tempest%20Helm%20of%20the%20Thundergod/
Fiery Soul of the Slayer,18.52 ,https://market.dota2.net/en/item/131957931-57943523-Fiery%20Soul%20of%20the%20Slayer/
Staff of Perplex,8.3 ,https://market.dota2.net/en/item/1169471219-1701675788-Staff%20of%20Perplex/
Turstarkuri Pilgrim Head,3.911 ,https://market.dota2.net/en/item/5492798150-1625510296-Turstarkuri%20Pilgrim%20Head/
Magus Apex,2.998 ,https://market.dota2.net/en/item/1116785084-3361756675-Magus%20Apex/
Infernal Chieftain,5.818 ,https://market.dota2.net/en/item/1899577580-57949762-Infernal%20Chieftain/
Cult of Aktok,2.84 ,https://market.dota2.net/en/item/2974022691-57949762-Cult%20of%20Aktok/
The Sunbreeze Birthright,4.87 ,https://market.dota2.net/en/item/2588898073-1625510296-The%20Sunbreeze%20Birthright/
Silent Wake,12.959 ,https://market.dota2.net/en/item/1899577819-57949762-Silent%20Wake/
Righteous Thunderbolt,17.864 ,https://market.dota2.net/en/item/1116775820-1368602677-Righteous%20Thunderbolt/
Golden Scavenging Guttleslug,11.437 ,https://market.dota2.net/en/item/2345318196-57949762-Golden%20Scavenging%20Guttleslug/
Spring Lineage Pauldrons of Eternal Harvest,8.943 ,https://market.dota2.net/en/item/4796752585-1625510296-Spring%20Lineage%20Pauldrons%20of%20Eternal%20Harvest/
Piston Impaler,3.858 ,https://market.dota2.net/en/item/1116755408-3361756675-Piston%20Impaler/
Bracers of Aeons,4.656 ,https://market.dota2.net/en/item/2457163548-57949762-Bracers%20of%20Aeons/
Great Sage's Reckoning,18.9 ,https://market.dota2.net/en/item/2085579067-1625510296-Great%20Sage%27s%20Reckoning/
Sullen Rampart,5.99 ,https://market.dota2.net/en/item/3450589816-57949762-Sullen%20Rampart/
Hunger of the Howling Wilds Off-Hand Weapon,2.429 ,https://market.dota2.net/en/item/4056771706-1625510296-Hunger%20of%20the%20Howling%20Wilds%20Off-Hand%20Weapon/
Infused Claws of the Ferocious Heart,3.497 ,https://market.dota2.net/en/item/1326928008-520008156-Infused%20Claws%20of%20the%20Ferocious%20Heart/
Mount of the Winged Sentinel,6.449 ,https://market.dota2.net/en/item/4056849901-1625510296-Mount%20of%20the%20Winged%20Sentinel/
Latticean Shards,4.74 ,https://market.dota2.net/en/item/1899578699-57949762-Latticean%20Shards/
World Chasm Artifact,4.638 ,https://market.dota2.net/en/item/957082170-948149725-World%20Chasm%20Artifact/
Sullen Harvest,26.93 ,https://market.dota2.net/en/item/2345315403-57949762-Sullen%20Harvest/
Spirit of the Frozen Flow,4.683 ,https://market.dota2.net/en/item/5713402870-57949762-Spirit%20of%20the%20Frozen%20Flow/
Exalted Great Sage's Reckoning,18.71 ,https://market.dota2.net/en/item/2085579510-1625510296-Exalted%20Great%20Sage%27s%20Reckoning/
Avowance of the Veiled Ones,35.934 ,https://market.dota2.net/en/item/4056581340-57949762-Avowance%20of%20the%20Veiled%20Ones/
Blade of Tears,23.933 ,https://market.dota2.net/en/item/533252952-3361756675-Blade%20of%20Tears/
Sea Rake's Bridle,12.21 ,https://market.dota2.net/en/item/2274735475-57949762-Sea%20Rake%27s%20Bridle/
Sylvan Vedette,26.1 ,https://market.dota2.net/en/item/2974026543-57949762-Sylvan%20Vedette/
Codicil of the Veiled Ones,14.269 ,https://market.dota2.net/en/item/2814112341-2827227984-Codicil%20of%20the%20Veiled%20Ones/
Genuine Weather Rain,3.485 ,https://market.dota2.net/en/item/519295759-93973071-Genuine%20Weather%20Rain/
Doll of the Dead,13.942 ,https://market.dota2.net/en/item/5224618520-58046424-Doll%20of%20the%20Dead/
The Abscesserator,3.944 ,https://market.dota2.net/en/item/5061407183-1625510296-The%20Abscesserator/
Reaper's Wreath,4.38 ,https://market.dota2.net/en/item/3266278434-57949762-Reaper%27s%20Wreath/
Mantle of the Cinder Baron,2.518 ,https://market.dota2.net/en/item/1399668417-948149725-Mantle%20of%20the%20Cinder%20Baron/
Hidden Vector - Blade,4.457 ,https://market.dota2.net/en/item/4480662399-1625510296-Hidden%20Vector%20-%20Blade/
Auspice of the Whyrlegyge,2.408 ,https://market.dota2.net/en/item/1880238948-57949762-Auspice%20of%20the%20Whyrlegyge/
Crux of Perplex,2.61 ,https://market.dota2.net/en/item/2974022688-57949762-Crux%20of%20Perplex/
Genuine Weather Ash,3.56 ,https://market.dota2.net/en/item/1723140769-948149725-Genuine%20Weather%20Ash/
Tines of Tybara,2.822 ,https://market.dota2.net/en/item/3481251710-57949762-Tines%20of%20Tybara/
Origins of Faith,3.866 ,https://market.dota2.net/en/item/2457164243-57949762-Origins%20of%20Faith/
The Strings of Suradan,2.929 ,https://market.dota2.net/en/item/5632853673-1625510296-The%20Strings%20of%20Suradan/
Staff of the Demon Trickster,3.269 ,https://market.dota2.net/en/item/3481260928-1625510296-Staff%20of%20the%20Demon%20Trickster/
Golden Twilight Schism,10.893 ,https://market.dota2.net/en/item/3343608169-782678640-Golden%20Twilight%20Schism/
Altar Ball,2.471 ,https://market.dota2.net/en/item/5224603878-58046424-Altar%20Ball/
Ripper's Reel,2.691 ,https://market.dota2.net/en/item/1899578284-57949762-Ripper%27s%20Reel/
Magus Accord,13.735 ,https://market.dota2.net/en/item/2457165324-0-Magus%20Accord/
The Basher Blades,3.214 ,https://market.dota2.net/en/item/997405425-93973071-The%20Basher%20Blades/
The King's New Journey,14.23 ,https://market.dota2.net/en/item/2085576689-57943523-The%20King%27s%20New%20Journey/
Concord Dominion,5.157 ,https://market.dota2.net/en/item/2457164244-57949762-Concord%20Dominion/
Arms of Desolation,4.891 ,https://market.dota2.net/en/item/996780770-3361756675-Arms%20of%20Desolation/
Apogee of the Guardian Flame,2.186 ,https://market.dota2.net/en/item/3343608168-57949762-Apogee%20of%20the%20Guardian%20Flame/
Bitter Lineage,3.709 ,https://market.dota2.net/en/item/2457164245-57949762-Bitter%20Lineage/
Glaive of Oscilla,3.042 ,https://market.dota2.net/en/item/2974024428-57949762-Glaive%20of%20Oscilla/
Mulctant Pall,11.27 ,https://market.dota2.net/en/item/1899580746-57949762-Mulctant%20Pall/
Focal Resonance,3.486 ,https://market.dota2.net/en/item/1116755959-3361756675-Focal%20Resonance/
Demon Eater,22.874 ,https://market.dota2.net/en/item/606175608-3361757623-Demon%20Eater/
Tempest Helm of the Thundergod,27.133 ,https://market.dota2.net/en/item/1441173253-1625510296-Tempest%20Helm%20of%20the%20Thundergod/
Fiery Soul of the Slayer,18.52 ,https://market.dota2.net/en/item/131957931-57943523-Fiery%20Soul%20of%20the%20Slayer/
Staff of Perplex,8.3 ,https://market.dota2.net/en/item/1169471219-1701675788-Staff%20of%20Perplex/
Turstarkuri Pilgrim Head,3.911 ,https://market.dota2.net/en/item/5492798150-1625510296-Turstarkuri%20Pilgrim%20Head/
Magus Apex,2.998 ,https://market.dota2.net/en/item/1116785084-3361756675-Magus%20Apex/
Infernal Chieftain,5.818 ,https://market.dota2.net/en/item/1899577580-57949762-Infernal%20Chieftain/
Cult of Aktok,2.84 ,https://market.dota2.net/en/item/2974022691-57949762-Cult%20of%20Aktok/
The Sunbreeze Birthright,4.87 ,https://market.dota2.net/en/item/2588898073-1625510296-The%20Sunbreeze%20Birthright/
Silent Wake,12.959 ,https://market.dota2.net/en/item/1899577819-57949762-Silent%20Wake/
Righteous Thunderbolt,17.864 ,https://market.dota2.net/en/item/1116775820-1368602677-Righteous%20Thunderbolt/
Golden Scavenging Guttleslug,11.437 ,https://market.dota2.net/en/item/2345318196-57949762-Golden%20Scavenging%20Guttleslug/
Spring Lineage Pauldrons of Eternal Harvest,8.943 ,https://market.dota2.net/en/item/4796752585-1625510296-Spring%20Lineage%20Pauldrons%20of%20Eternal%20Harvest/
Piston Impaler,3.858 ,https://market.dota2.net/en/item/1116755408-3361756675-Piston%20Impaler/
Bracers of Aeons,4.656 ,https://market.dota2.net/en/item/2457163548-57949762-Bracers%20of%20Aeons/
Great Sage's Reckoning,18.9 ,https://market.dota2.net/en/item/2085579067-1625510296-Great%20Sage%27s%20Reckoning/
Sullen Rampart,5.99 ,https://market.dota2.net/en/item/3450589816-57949762-Sullen%20Rampart/
Hunger of the Howling Wilds Off-Hand Weapon,2.429 ,https://market.dota2.net/en/item/4056771706-1625510296-Hunger%20of%20the%20Howling%20Wilds%20Off-Hand%20Weapon/
Infused Claws of the Ferocious Heart,3.497 ,https://market.dota2.net/en/item/1326928008-520008156-Infused%20Claws%20of%20the%20Ferocious%20Heart/
Mount of the Winged Sentinel,6.449 ,https://market.dota2.net/en/item/4056849901-1625510296-Mount%20of%20the%20Winged%20Sentinel/
Latticean Shards,4.74 ,https://market.dota2.net/en/item/1899578699-57949762-Latticean%20Shards/
World Chasm Artifact,4.638 ,https://market.dota2.net/en/item/957082170-948149725-World%20Chasm%20Artifact/
Sullen Harvest,26.93 ,https://market.dota2.net/en/item/2345315403-57949762-Sullen%20Harvest/
Spirit of the Frozen Flow,4.683 ,https://market.dota2.net/en/item/5713402870-57949762-Spirit%20of%20the%20Frozen%20Flow/
Exalted Great Sage's Reckoning,18.71 ,https://market.dota2.net/en/item/2085579510-1625510296-Exalted%20Great%20Sage%27s%20Reckoning/
Avowance of the Veiled Ones,35.934 ,https://market.dota2.net/en/item/4056581340-57949762-Avowance%20of%20the%20Veiled%20Ones/
Blade of Tears,23.933 ,https://market.dota2.net/en/item/533252952-3361756675-Blade%20of%20Tears/
Sea Rake's Bridle,12.21 ,https://market.dota2.net/en/item/2274735475-57949762-Sea%20Rake%27s%20Bridle/
Sylvan Vedette,26.1 ,https://market.dota2.net/en/item/2974026543-57949762-Sylvan%20Vedette/
Codicil of the Veiled Ones,14.269 ,https://market.dota2.net/en/item/2814112341-2827227984-Codicil%20of%20the%20Veiled%20Ones/
Hunter's Hoard,8.453 ,https://market.dota2.net/en/item/1899578286-57949762-Hunter%27s%20Hoard/
Pyrexaec Floe,6.966 ,https://market.dota2.net/en/item/2457163545-57949762-Pyrexaec%20Floe/
Etienne's Revenge,4.51 ,https://market.dota2.net/en/item/2588898080-1625510296-Etienne%27s%20Revenge/
Ancient Dragon King,31.806 ,https://market.dota2.net/en/item/5713406969-57949762-Ancient%20Dragon%20King/
Mask of the Demon Trickster,2.589 ,https://market.dota2.net/en/item/3481260926-1625510296-Mask%20of%20the%20Demon%20Trickster/
Nothlic Burden,3.831 ,https://market.dota2.net/en/item/1899578584-57949762-Nothlic%20Burden/
Blistering Shade,7.527 ,https://market.dota2.net/en/item/1899580764-57949762-Blistering%20Shade/
Golden Shadow Masquerade,4.88 ,https://market.dota2.net/en/item/1814259115-57949762-Golden%20Shadow%20Masquerade/
Golden Ice Blossom,2.43 ,https://market.dota2.net/en/item/3481254033-57949762-Golden%20Ice%20Blossom/
Feast of Abscession,20.321 ,https://market.dota2.net/en/item/2777494242-2781217946-Feast%20of%20Abscession/
Shadow in the Deep Helm,11.056 ,https://market.dota2.net/en/item/4056874028-1625510296-Shadow%20in%20the%20Deep%20Helm/
Ripper's Reel,2.624 ,https://market.dota2.net/en/item/1899578284-2192901407-Ripper%27s%20Reel/
Alluvion Prophecy,2.832 ,https://market.dota2.net/en/item/2457164242-57949762-Alluvion%20Prophecy/
Genuine The Golden Barb of Skadi,4.43 ,https://market.dota2.net/en/item/771156380-57949762-Genuine%20The%20Golden%20Barb%20of%20Skadi/
Genuine Bloodfeather Wings,4.44 ,https://market.dota2.net/en/item/771156290-560542281-Genuine%20Bloodfeather%20Wings/
Astral Origins - Belt,5.436 ,https://market.dota2.net/en/item/5085330515-1625510296-Astral%20Origins%20-%20Belt/
The Abscesserator,10.882 ,https://market.dota2.net/en/item/5061407183-2935641167-The%20Abscesserator/
Dam'arakan Muzzle,7.876 ,https://market.dota2.net/en/item/1899579629-57949762-Dam%27arakan%20Muzzle/
Exalted Tempest Helm of the Thundergod,27.84 ,https://market.dota2.net/en/item/1441176680-0-Exalted%20Tempest%20Helm%20of%20the%20Thundergod/
Astral Drift,4.21 ,https://market.dota2.net/en/item/2880706931-2880708003-Astral%20Drift/
Hidden Vector,9.068 ,https://market.dota2.net/en/item/4480661957-93973071-Hidden%20Vector/
Masque of Awaleb,11.132 ,https://market.dota2.net/en/item/2944823463-2944823464-Masque%20of%20Awaleb/
Jagged Honor Mask,2.741 ,https://market.dota2.net/en/item/3354392247-1625510296-Jagged%20Honor%20Mask/
Blades of Voth Domosh,20.76 ,https://market.dota2.net/en/item/253037326-230149949-Blades%20of%20Voth%20Domosh/
Jagged Honor Legs,5.83 ,https://market.dota2.net/en/item/3354392245-1625510296-Jagged%20Honor%20Legs/
Mania's Mask,8.137 ,https://market.dota2.net/en/item/533252957-929026641-Mania%27s%20Mask/
Infused Gauntlet of the Infernal Rambler,2.38 ,https://market.dota2.net/en/item/2019426073-1625510600-Infused%20Gauntlet%20of%20the%20Infernal%20Rambler/
Bane of the Deathstalkers - Shoulder,3.51 ,https://market.dota2.net/en/item/4714886360-1625510296-Bane%20of%20the%20Deathstalkers%20-%20Shoulder/
Thirst of Eztzhok - Off-Hand,2.57 ,https://market.dota2.net/en/item/1169464144-0-Thirst%20of%20Eztzhok%20-%20Off-Hand/
Concord Reversion,19.219 ,https://market.dota2.net/en/item/4056581349-57949762-Concord%20Reversion/
God's Mercy,12.309 ,https://market.dota2.net/en/item/4056581761-57949762-God%27s%20Mercy/
Genuine Weather Rain,3.301 ,https://market.dota2.net/en/item/519295759-1363818243-Genuine%20Weather%20Rain/
Orbuculum Equinox,15.794 ,https://market.dota2.net/en/item/5013459151-58046424-Orbuculum%20Equinox/
